endTime,artistName,trackName,msPlayed
2025-01-01 01:42,Timbaland,Give It To Me,1556
2025-01-01 01:42,Timbaland,Give It To Me,72378
2025-01-01 01:42,Kendrick Lamar,luther (with sza),743
2025-01-01 01:45,Gracie Abrams,That’s So True,166300
2025-01-01 01:47,Charli xcx,360,133805
2025-01-01 01:50,Chappell Roan,Red Wine Supernova,192720
2025-01-01 02:57,Addison Rae,Diet Pepsi,4389
2025-01-01 02:57,Addison Rae,Diet Pepsi,39454
2025-01-01 03:00,Shaboozey,A Bar Song (Tipsy),171291
2025-01-01 03:01,Billie Eilish,BIRDS OF A FEATHER,50492
2025-01-01 03:04,Chappell Roan,After Midnight,7382
2025-01-01 03:04,Kendrick Lamar,luther (with sza),177598
2025-01-01 03:07,Kendrick Lamar,Rich Spirit,202285
2025-01-01 03:10,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-01 03:14,Tory Lanez,The Color Violet,226466
2025-01-01 03:17,Kendrick Lamar,tv off (feat. lefty gunplay),220690
2025-01-01 03:20,Hotel Ugly,Shut up My Moms Calling,164571
2025-01-01 03:22,The Weeknd,Pray For Me,107762
2025-01-01 03:25,Kehlani,After Hours,202414
2025-01-01 03:25,Lee Hyori,10 Minutes,3511
2025-01-01 03:28,Gracie Abrams,That’s So True,166300
2025-01-01 03:31,Charli xcx,Apple,151739
2025-01-01 04:04,Chappell Roan,Pink Pony Club,189059
2025-01-01 04:05,Chappell Roan,Pink Pony Club,69041
2025-01-01 04:05,Sabrina Carpenter,Taste,1117
2025-01-01 04:08,Tinashe,Nasty,176027
2025-01-01 04:11,Chappell Roan,Casual,17900
2025-01-01 04:11,Dua Lipa,Houdini,1973
2025-01-01 04:11,Charli xcx,Von dutch,164284
2025-01-01 04:11,KATSEYE,Touch,1346
2025-01-01 04:11,Sabrina Carpenter,Good Graces,975
2025-01-01 04:11,Tate McRae,exes,10472
2025-01-01 05:31,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),166301
2025-01-02 03:45,Gracie Abrams,That’s So True,166300
2025-01-02 03:48,Charli xcx,Apple,151739
2025-01-02 03:56,Chappell Roan,Red Wine Supernova,71470
2025-01-02 09:07,Kardinal Offishall,Dangerous,246053
2025-01-02 09:08,David Guetta,I Don't Wanna Wait,50176
2025-01-02 09:12,Kendrick Lamar,Rich Spirit,202285
2025-01-02 09:14,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-02 09:16,Gunna,on one tonight,90760
2025-01-02 09:19,Kendrick Lamar,luther (with sza),177598
2025-01-02 09:22,Tory Lanez,The Color Violet,226466
2025-01-02 09:24,The Weeknd,Pray For Me,100938
2025-01-02 09:27,Gracie Abrams,That’s So True,166300
2025-01-02 09:29,Charli xcx,360,133805
2025-01-02 09:32,Addison Rae,Diet Pepsi,169697
2025-01-02 09:35,Billie Eilish,BIRDS OF A FEATHER,210373
2025-01-02 09:38,The Weeknd,The Hills,2330
2025-01-02 09:41,Chappell Roan,Red Wine Supernova,192720
2025-01-02 09:45,Chappell Roan,Femininomenon,219710
2025-01-02 09:47,Gracie Abrams,That’s So True,166300
2025-01-02 09:50,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-02 09:56,Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),369626
2025-01-02 09:59,Mac Miller,Knock Knock,197929
2025-01-02 10:03,Future,Last Breath,239800
2025-01-02 10:13,Chappell Roan,Pink Pony Club,115693
2025-01-02 10:13,Still Woozy,Goodie Bag,1603
2025-01-02 10:16,Gracie Abrams,That’s So True,166300
2025-01-02 10:16,Charli xcx,Apple,14315
2025-01-02 10:19,Shaboozey,A Bar Song (Tipsy),171291
2025-01-02 10:22,Marshmello,One Thing Right,181823
2025-01-02 10:25,Sabrina Carpenter,Taste,157279
2025-01-02 10:26,Jack Harlow,Lovin On Me,3297
2025-01-02 10:26,ROSÉ,APT.,1207
2025-01-02 10:26,Tommy Richman,MILLION DOLLAR BABY,41830
2025-01-02 10:29,Doja Cat,Juicy,203093
2025-01-02 10:32,Fergie,Glamorous,7151
2025-01-02 10:32,Jack Harlow,First Class,173947
2025-01-02 10:32,Megan Thee Stallion,Savage,4832
2025-01-02 10:36,Katy Perry,Last Friday Night (T.G.I.F.),230733
2025-01-02 10:40,Gwen Stefani,The Sweet Escape,246466
2025-01-02 10:42,Katy Perry,Teenage Dream,118018
2025-01-02 10:45,Kehlani,After Hours,202414
2025-01-02 10:46,Lee Hyori,10 Minutes,4811
2025-01-02 10:50,The Weeknd,The Hills,242253
2025-01-02 10:53,Chappell Roan,After Midnight,11248
2025-01-02 10:53,Kendrick Lamar,luther (with sza),177598
2025-01-02 10:56,Chappell Roan,Red Wine Supernova,192720
2025-01-02 11:00,Chappell Roan,Femininomenon,219710
2025-01-02 11:03,Gracie Abrams,That’s So True,166300
2025-01-02 11:05,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-02 11:07,Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),56104
2025-01-02 11:10,Kendrick Lamar,luther (with sza),177598
2025-01-02 11:14,Still Woozy,Goodie Bag,109321
2025-01-02 11:14,Chappell Roan,Red Wine Supernova,3760
2025-01-02 11:14,Chappell Roan,After Midnight,204857
2025-01-02 11:17,Gracie Abrams,That’s So True,166300
2025-01-02 11:17,Sabrina Carpenter,Good Graces,5306
2025-01-02 11:21,Future,Last Breath,239800
2025-01-02 11:21,Still Woozy,Goodie Bag,9199
2025-01-02 11:24,Lorde,Team,193058
2025-01-03 01:30,Eminem,The Monster,36899
2025-01-03 01:30,Eminem,The Monster,2392
2025-01-03 01:33,Post Malone,Wow.,17566
2025-01-03 01:33,Shaboozey,A Bar Song (Tipsy),171291
2025-01-03 01:36,Gracie Abrams,That’s So True,166300
2025-01-03 01:36,Charli xcx,Apple,18170
2025-01-03 01:39,Kendrick Lamar,luther (with sza),177598
2025-01-03 03:33,Doechii,NISSAN ALTIMA,3600
2025-01-03 03:33,Doechii,NISSAN ALTIMA,73048
2025-01-03 03:36,Gracie Abrams,That’s So True,166300
2025-01-03 03:38,Chappell Roan,Pink Pony Club,0
2025-01-03 03:38,Charli xcx,360,133805
2025-01-03 07:57,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),195546
2025-01-03 07:58,Matt Sassari,Give It To Me - Full Vocal Mix,20897
2025-01-03 08:00,Gracie Abrams,That’s So True,166300
2025-01-03 08:15,Charli xcx,Apple,42272
2025-01-03 08:18,Kendrick Lamar,Rich Spirit,202285
2025-01-03 08:21,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-04 09:51,Kendrick Lamar,luther (with sza),164408
2025-01-04 09:52,Kendrick Lamar,luther (with sza),13185
2025-01-04 09:54,Gracie Abrams,That’s So True,166300
2025-01-04 09:58,Kehlani,After Hours,202414
2025-01-04 10:00,Doechii,NISSAN ALTIMA,126832
2025-01-04 10:02,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-04 10:05,Gracie Abrams,That’s So True,166300
2025-01-04 10:09,The Weeknd,The Hills,242253
2025-01-04 10:13,Future,Last Breath,239800
2025-01-04 10:16,Lorde,Team,193058
2025-01-04 10:19,Shaboozey,A Bar Song (Tipsy),171291
2025-01-04 10:21,Gunna,on one tonight,90760
2025-01-04 10:23,Kendrick Lamar,squabble up,157992
2025-01-06 04:50,Tory Lanez,The Color Violet,107329
2025-01-06 04:50,Tory Lanez,The Color Violet,3692
2025-01-06 04:53,Gracie Abrams,That’s So True,166300
2025-01-06 04:53,Charli xcx,360,16474
2025-01-06 04:56,Kendrick Lamar,luther (with sza),177598
2025-01-06 04:58,Doechii,NISSAN ALTIMA,126832
2025-01-06 05:01,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-06 05:02,Gunna,on one tonight,90760
2025-01-06 05:05,Kehlani,After Hours,202414
2025-01-06 05:08,Kendrick Lamar,squabble up,157992
2025-01-06 05:11,Megan Thee Stallion,Mamushi (feat. Yuki Chiba),156988
2025-01-06 05:14,Billie Eilish,BIRDS OF A FEATHER,210373
2025-01-06 05:17,GloRilla,TGIF,164571
2025-01-06 05:20,Addison Rae,Diet Pepsi,169697
2025-01-06 05:22,Sabrina Carpenter,Taste,157279
2025-01-06 06:10,Kendrick Lamar,tv off (feat. lefty gunplay),4761
2025-01-06 06:10,Kendrick Lamar,tv off (feat. lefty gunplay),151774
2025-01-06 06:13,Gunna,one of wun,144000
